,scpdsi,pdsi,phdi,pmdi,zindex
2004-03-31,-0.40653264752586543,-2.7748281232146463,-2.8056890495865074,-2.4509127195834064,-1.2195979425775962
2004-04-30,-0.674491311656479,-2.787012704119652,-2.8265346043048747,-2.756636930273279,-0.9294945804773332
2004-05-31,0.7457582463916285,0.5975602275600208,-1.7896432936698443,-0.7558207357199943,2.2372747391748855
2004-06-30,0.9173611639644826,0.7350619970288208,-1.3568940174706587,-0.019482826350651794,0.7452480508535756
2004-07-31,1.4373880693827372,1.1517485002523857,-0.6026188283645847,1.3799557975295431,1.8435453159197883
2004-08-31,0.8956314632336118,0.6544575157052501,-0.934254724045736,0.5169795636861436,-1.1811169050081103
2004-09-30,0.6460756933972207,0.4357538152792225,-0.9953322165923543,0.24238764181707756,-0.47191718736998733
2004-10-31,0.3413853025638667,0.16182684116310336,-1.130957592696782,-0.1451130599985144,-0.7144337832403207
2004-11-30,2.05445292684963,1.5459784558477851,2.05445292684963,2.05445292684963,5.244690931349525
2004-12-31,1.5962689261640586,1.149589754933511,1.5962689261640586,1.189265527073799,-0.7397260476601784
2005-01-31,2.5688631477575603,1.9422438863413678,2.5688631477575603,2.5688631477575603,3.411029762965199
2005-02-28,2.696462899175947,2.0564484027562338,2.696462899175947,2.696462899175947,1.1765779669122451
2005-03-31,2.0648970367920123,-0.340309205753409,2.0648970367920123,1.5558329825070005,-1.0614905513064357
2005-04-30,1.4821173084941652,-0.6612101698893751,1.4821173084941652,0.46415385723078156,-1.1102860005248096
2005-05-31,1.4467500014350505,-0.49912291748289284,1.4467500014350505,0.5561470480493118,0.3518723271473522
2005-06-30,0.6628952572620191,-1.0582935124353696,0.6628952572620191,-0.9559928841647125,-1.9045184820756638
2005-07-31,1.7224668244507135,0.9037220488898351,1.7224668244507135,1.3147234362985467,3.383549336060047
2005-08-31,1.5264543479517612,0.7927509881148168,1.5264543479517612,1.0523875419930457,-0.0557951807415868
2005-09-30,2.0029392586270216,1.2188757527179201,2.0029392586270216,2.0029392586270216,1.901129125542875
2005-10-31,1.1381842825712196,-0.6332906759217356,1.1381842825712196,0.15654360287988706,-1.9753566972516565
2005-11-30,0.8557758473736893,-0.7269253103290794,0.8557758473736893,-0.3549760289192082,-0.4955263622780843
2005-12-31,1.489464214304425,0.5783896600169066,1.489464214304425,1.1746385733954323,2.165499837630677
2006-01-31,0.845219959164244,0.04674223984879261,0.845219959164244,-0.1282512412856246,-1.4724883232004757
2006-02-28,1.060075631544696,0.2838445201496287,1.060075631544696,0.4433877159193169,0.9057399845231074
2006-03-31,1.3958326755038855,0.6111333702674531,1.3958326755038855,1.1906442488143127,1.334834502024879
